               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.030884,           0.0097114,                   0,              0.6455,                   1,             0.83933,             0.53126,            0.030889,           0.0051212,                   0,           0.0098845,           0.0098845,           0.0098845
                  51,            0.024517,           0.0074338,                   0,             0.69105,                   1,             0.93278,             0.55366,            0.033978,           0.0042823,                   0,           0.0098821,           0.0098821,           0.0098821
                  52,            0.029494,            0.008714,                   0,             0.87003,             0.96024,              0.9775,             0.61133,            0.028516,           0.0039463,                   0,           0.0098798,           0.0098798,           0.0098798
                  53,            0.028733,           0.0080326,                   0,                   1,             0.84351,               0.953,             0.62749,            0.032249,           0.0038004,                   0,           0.0098774,           0.0098774,           0.0098774
                  54,            0.022157,           0.0058311,                   0,             0.87299,             0.98388,              0.9775,             0.69176,            0.027225,           0.0039539,                   0,           0.0098751,           0.0098751,           0.0098751
                  55,            0.030031,           0.0083143,                   0,              0.8448,             0.85714,             0.89625,             0.61835,            0.022736,           0.0046997,                   0,           0.0098727,           0.0098727,           0.0098727
                  56,            0.025165,           0.0068552,                   0,             0.67773,                   1,               0.883,             0.58446,            0.026295,           0.0039132,                   0,           0.0098704,           0.0098704,           0.0098704
                  57,            0.027185,           0.0075928,                   0,             0.86906,                   1,              0.9775,             0.70418,            0.024768,           0.0040547,                   0,            0.009868,            0.009868,            0.009868
                  58,            0.025767,           0.0084044,                   0,             0.97947,                   1,               0.995,             0.70405,            0.022918,           0.0044258,                   0,           0.0098656,           0.0098656,           0.0098656
                  59,            0.027728,           0.0069902,                   0,             0.85401,                   1,              0.9775,             0.66082,            0.031744,            0.004155,                   0,           0.0098633,           0.0098633,           0.0098633
                  60,             0.02523,           0.0070459,                   0,             0.96604,             0.71429,               0.918,             0.62511,            0.024868,           0.0039644,                   0,           0.0098609,           0.0098609,           0.0098609
                  61,            0.029962,            0.014065,                   0,             0.82076,             0.85714,             0.96389,             0.70937,            0.024734,           0.0038391,                   0,           0.0098586,           0.0098586,           0.0098586
                  62,            0.029954,           0.0083305,                   0,             0.73212,                   1,             0.93278,             0.63917,            0.033784,           0.0048118,                   0,           0.0098562,           0.0098562,           0.0098562
                  63,            0.028178,           0.0088644,                   0,              0.9927,                   1,               0.995,               0.683,            0.027157,           0.0040704,                   0,           0.0098539,           0.0098539,           0.0098539
                  64,            0.024196,           0.0065546,                   0,             0.84912,             0.80901,               0.933,             0.58631,            0.026436,           0.0034744,                   0,           0.0098515,           0.0098515,           0.0098515
                  65,            0.027056,            0.010587,                   0,             0.95894,             0.71429,             0.86577,             0.62347,            0.030651,           0.0040639,                   0,           0.0098491,           0.0098491,           0.0098491
                  66,            0.028567,           0.0084008,                   0,             0.91812,             0.71429,             0.85991,             0.48173,            0.031903,           0.0044523,                   0,           0.0098468,           0.0098468,           0.0098468
                  67,            0.026901,           0.0069683,                   0,             0.87351,              0.9881,                0.96,             0.77565,            0.018948,           0.0040857,                   0,           0.0098444,           0.0098444,           0.0098444
                  68,            0.025267,           0.0067798,                   0,                   1,             0.98027,               0.995,             0.74856,            0.023514,           0.0032968,                   0,           0.0098421,           0.0098421,           0.0098421
                  69,            0.025855,            0.007163,                   0,             0.96919,                   1,               0.995,             0.68318,            0.025132,           0.0030034,                   0,           0.0098397,           0.0098397,           0.0098397
                  70,            0.022957,           0.0075469,                   0,             0.84822,                   1,              0.9775,             0.73799,            0.021178,           0.0032645,                   0,           0.0098374,           0.0098374,           0.0098374
                  71,            0.023327,           0.0063104,                   0,             0.84298,                   1,              0.9775,             0.80641,            0.020502,           0.0032448,                   0,            0.009835,            0.009835,            0.009835
