               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.018277,           0.0057267,                   0,             0.87293,             0.98347,              0.9775,             0.70101,            0.023876,           0.0029075,                   0,           0.0098067,           0.0098067,           0.0098067
                  84,            0.019641,           0.0046443,                   0,             0.86202,                   1,              0.9775,             0.65932,            0.025532,           0.0030578,                   0,           0.0098044,           0.0098044,           0.0098044
                  85,            0.018793,            0.004449,                   0,             0.86941,                   1,              0.9775,             0.74526,            0.023233,           0.0029567,                   0,            0.009802,            0.009802,            0.009802
                  86,            0.020757,           0.0055401,                   0,             0.95714,             0.85714,               0.953,             0.71172,            0.024122,           0.0038689,                   0,           0.0097996,           0.0097996,           0.0097996
                  87,            0.023174,           0.0059952,                   0,             0.86329,                   1,              0.9775,             0.76122,            0.022614,           0.0028958,                   0,           0.0097973,           0.0097973,           0.0097973
                  88,            0.017086,           0.0052558,                   0,             0.86703,                   1,              0.9775,              0.7613,            0.023139,           0.0029385,                   0,           0.0097949,           0.0097949,           0.0097949
                  89,            0.024639,            0.006162,                   0,             0.86552,                   1,              0.9775,             0.82617,             0.02158,           0.0028821,                   0,           0.0097926,           0.0097926,           0.0097926
                  90,            0.019257,            0.005238,                   0,              0.9771,                   1,               0.995,             0.68475,              0.0218,           0.0026992,                   0,           0.0097902,           0.0097902,           0.0097902
                  91,            0.020301,           0.0053151,                   0,             0.97781,                   1,               0.995,             0.79553,            0.019494,            0.002636,                   0,           0.0097879,           0.0097879,           0.0097879
                  92,            0.016413,           0.0048775,                   0,             0.94965,                   1,               0.995,             0.74435,            0.020322,           0.0030256,                   0,           0.0097855,           0.0097855,           0.0097855
                  93,            0.021212,           0.0047341,                   0,             0.92477,                   1,               0.995,             0.77652,            0.016388,           0.0027391,                   0,           0.0097831,           0.0097831,           0.0097831
                  94,            0.016901,           0.0046025,                   0,             0.93975,                   1,               0.995,             0.72907,            0.019868,           0.0027729,                   0,           0.0097808,           0.0097808,           0.0097808
                  95,            0.017998,           0.0053424,                   0,             0.86676,                   1,               0.995,             0.62259,             0.02113,           0.0031448,                   0,           0.0097784,           0.0097784,           0.0097784
                  96,            0.017289,           0.0052582,                   0,             0.86602,                   1,               0.995,             0.73477,            0.022336,           0.0031912,                   0,           0.0097761,           0.0097761,           0.0097761
                  97,            0.019238,           0.0054616,                   0,             0.90816,                   1,               0.995,              0.7865,              0.0199,           0.0029136,                   0,           0.0097737,           0.0097737,           0.0097737
                  98,            0.019656,           0.0059498,                   0,             0.86936,                   1,                0.96,             0.76463,            0.020431,           0.0031183,                   0,           0.0097714,           0.0097714,           0.0097714
                  99,            0.015493,           0.0060949,                   0,             0.82273,             0.85714,             0.90409,             0.69953,             0.01991,           0.0036159,                   0,            0.009769,            0.009769,            0.009769
                 100,            0.022178,           0.0050287,                   0,             0.76938,                   1,             0.92389,             0.65621,            0.025941,           0.0030695,                   0,           0.0097666,           0.0097666,           0.0097666
